Row_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Membership_Type,Order_ID,Order_Date,Delivery_Date,Payment_Method,Order_Status,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Shipping_Cost,Tax,Total_Amount,Website_Visits,Time_On_Website,Rating,Returned_Product,Customer_Satisfaction,Salesperson,Region,Warehouse,Profit,Cost,Revenue
55,CUST00609,Aditya Gupta,Female,18, Ahmedabad ,Gujarat,India,Regular,ORD102285,26/08/2024,08/28/2024,Debit Card,Pending,Electronics,Smartwatch,6,2865.69,11.574753819322233,272.04,2736.71,18212.71,1,8.9,5.0,No,Satisfied,Agent_05,West,WH-West,2694.56,9500.65,15203.96
56,CUST00712,Meera Verma,Female,56,Bengaluru,Karnataka,India,Regular,ORD100718,2024-01-05,01/08/2024,Credit Card,Shipped,Sports,Yoga Mat,3,2330.21,16.223751739592498,26.5,1054.17,6937.16,4,12.6,2.0,No,Satisfied,Agent_10,South,WH-North,1223.81,3552.01,5856.49
57,CUST00725,Ishaan Mehta,Female,,Hyderabad,Telangana,India,Silver,ORD100511,2023-02-12,2023-02-15,UPI,Pending,Beauty,Sunscreen SPF50,3,1025.32,3.810319659105165,25.87,532.58,3517.21,3,15.4,,No,Satisfied,Agent_16,South,WH-Central,,2241.18,2958.76
58,CUST01436,Rohan Reddy,Female,26,MUMBAI,Maharashtra,India,Platinum,ORD102521,03/11/2023,03/15/2023,Net Banking,Delivered,Beauty,Hair Serum,3,1640.33,6.19696317543977,27.15,830.89,5474.08,2,4.6,4.0,Yes,Satisfied,Agent_03,South,WH-East,,2469.63,4616.04
59,CUST00955,Diya Sharma,Female,24,Chennai,Tamil Nadu,India,Gold,ORD104171,29-Apr-2023,03-May-2023,Debit Card,Returned,Electronics,Smartwatch,5,856.48,8.813937448381607,70.1,702.89,4677.94,2,29.5,5.0,No,Very Unsatisfied,Agent_02,West,WH-East,247.7,2884.26,3904.95
60,CUST01036,Ananya Verma,Male,32,Lucknow,Uttar Pradesh,India,Platinum,ORD103506,2024-03-28,01-Apr-2024,Cash on Delivery,Delivered,Home & Kitchen,Mixer Grinder,2,1684.61,3.1267088889966437,98.7,587.5,3950.07,7,14.6,,No,Satisfied,Agent_18,West,WH-South,107.08,2470.59,3263.87
61,CUST01452,Sneha Iyer, Female ,19,Kolkata,West Bengal,India,Gold,ORD104158,04/11/2024,18-Apr-2024,Debit Card,Delivered,Electronics,LED Monitor,1,1879.53,16.370457121009867,36.59,282.93,1891.36,1,7.9,3.0,Yes,Neutral,Agent_14,East,WH-Central,126.36,1125.96,1571.84
62,CUST01053,Pooja Patel,Male,29,Pune,Maharashtra,India,Platinum,ORD103977,04/24/2024,04/27/2024,Net Banking,Delivered,Beauty,Hair Serum,4,1180.59,14.785854939725231,20.0,724.34,4768.46,10,2.9,3.0,No,Neutral,Agent_17,West,WH-North,576.02,2703.76,4024.12
63,CUST00358,Meera Reddy,Male,34,Pune,Maharashtra,India,Silver,ORD101582,28/04/2023,2023-05-03,Net Banking,Shipped,Fashion,Denim Jeans,4,828.88,9.5063316256704,20.0,540.06,3560.4,7,2.5,3.0,No,Very Unsatisfied,Agent_14,South,WH-South,725.37,1714.91,3000.34
64,CUST00408,Arjun Patel,Female,45,Lucknow,Uttar Pradesh,India,Gold,ORD103155,15/01/2023,2023-01-22,UPI,Returned,Sports,Football,1,3268.39,8.559247543227098,173.08,537.96,3699.68,4,1.8,3.0,No,Neutral,  Agent_20  ,South,WH-Central,297.94,1979.66,2988.64
65,CUST01004,Arjun Gupta,MALE,45,Hyderabad,Telangana,India,Gold,ORD100362,29-Jun-2024,04-Jul-2024,Cash on Delivery,Delivered,Electronics,Bluetooth Earbuds,2,1140.14,7.063581100281473,68.26,381.46,2568.93,1,11.9,5.0,No,Neutral,Agent_17,East,WH-East,16.61,1652.88,2119.21
66,CUST00413,Ananya Reddy,Female,40,Ahmedabad,Gujarat,India,Gold,ORD100687,10-Dec-2024,11-Dec-2024,Debit Card,Delivered,Fashion,Cotton T-Shirt,6,637.25,8.674379270058521,32.0,628.53,4152.37,1,2.9,4.0,No,Satisfied,Agent_01,North,WH-North,506.5,2324.81,3491.84
67,CUST00297,Diya Iyer,Male,27,pune,Maharashtra,India,Regular,ORD102589,25-Dec-2024,29/12/2024,Cash on Delivery,Delivered,Fashion,Denim Jeans,5,1035.87,9.49709554443306,125.46,843.74,5656.66,2,7.1,3.0,No,Satisfied,Agent_15,South,WH-Central,706.28,3011.98,4687.46
68,CUST01469,Rohan Gupta,Male,18,Hyderabad,Telangana,India,Silver,ORD100887,14-May-2024,17/05/2024,UPI,Delivered,Fashion,Cotton T-Shirt,3,752.95,4.9531561141772285,65.32,386.45,2598.74,9,33.1,2.0,No,Satisfied,Agent_10,North,WH-East,598.35,1096.85,2146.97
69,CUST00640,Meera Singh,Female,29,,Uttar Pradesh,India,Silver,ORD102748,22/04/2023,29/04/2023,Cash on Delivery,Shipped,Home & Kitchen,Mixer Grinder,6,1555.72,15.029595069925549,57.25,1427.65,9416.31,2,7.2,4.0,No,Very Satisfied,Agent_05,North,WH-South,2334.87,4111.64,7931.41
70,CUST00800,Reyansh Patel,Female,47,Bhopal,Madhya Pradesh,India,Regular,ORD100378,12/24/2023,01/01/2024,Debit Card,Delivered,Home & Kitchen,Non-Stick Pan,10,1092.58,6.68621298153769,43.13,1835.15,12073.56,5,23.6,4.0,No,Neutral,Agent_09,South,WH-West,1053.77,7263.23,10195.28
71,CUST00015,Reyansh Gupta,Female,36,Delhi,Delhi,India,Gold,ORD100533,11-Jan-2023,01/15/2023,Credit Card,Pending,Home & Kitchen,LED Bulb Pack,1,1621.19,12.9984792177137,71.95,253.88,1736.29,1,8.7,4.0,No,Satisfied,Agent_11,South,WH-Central,,1071.02,1410.46
72,CUST01329,Ishaan Patel,Male,,Pune,Maharashtra,India,Regular,ORD101776,10/02/2023,06/10/2023,Cash on Delivery,Cancelled,Sports,Dumbbell Set,7,2089.55,8.438987294644996,83.89,2410.65,15887.03,2,10.9,2.0,No,Unsatisfied,Agent_06,South,WH-West,3155.67,7742.28,13392.49
73,CUST00306,Sneha Reddy,FEMALE,,Bengaluru,Karnataka,India,Regular,ORD100048,07/10/2024,15-Jul-2024,Cash on Delivery,Delivered,Sports,Yoga Mat,4,1280.62,14.047283242520209,88.09,792.52,5283.52,11,3.0,2.0,No,Unsatisfied,Agent_08,West,WH-West,664.09,2858.21,4402.91
74,CUST01050,Neha Mehta,Male,27,Ahmedabad,Gujarat,India,Silver,ORD101179,2024-02-20,2024-02-24,Cash on Delivery,Pending,Electronics,Smartwatch,2,2252.63,5.069858866472357,60.26,769.83,5106.94,1,8.5,3.0,No,Unsatisfied,Agent_04,South,WH-West,,3372.43,4276.85
75,CUST00931,Meera Gupta,Male,38,Jaipur,Rajasthan,India,Regular,ORD102296,2023-03-17,2023-03-21,Credit Card,Cancelled,Fashion,Running Shoes,3,866.75,2.5636208629227384,23.78,456.05,3013.42,3,1.6,4.0,Yes,Very Satisfied,Agent_09,South,WH-West,,1803.08,2533.59
76,CUST00691,Neha Singh,Male,18,Bhopal,Madhya Pradesh,India,Gold,ORD103113,11/14/2024,2024-11-18,Net Banking,Delivered,Fashion,Cotton T-Shirt,3,2257.3,0.8758934688142611,50.41,1208.27,7971.27,2,32.2,5.0,No,Very Satisfied,  Agent_15  ,East,WH-North,1517.32,3936.59,6712.59
77,CUST00907,Rahul Joshi,Male,45,Delhi,Delhi,India,Gold,ORD102445,15/02/2023,02/18/2023,Credit Card,Returned,Fashion,Denim Jeans,3,3139.95,12.9013271677075,157.56,1476.82,9838.94,2,6.6,3.0,No,Satisfied,Agent_01,North,WH-South,1418.21,5151.97,8204.56
78,CUST01030,Arjun Patel,Male,28,Hyderabad,Telangana,India,Platinum,ORD103212,01/12/2023,02-Dec-2023,Cash on Delivery,Delivered,Beauty,Hair Serum,4,1292.96,3.7845398360494378,90.32,895.7,5962.13,1,4.3,3.0,No,Neutral,Agent_19,West,WH-North,1135.58,2854.51,4976.11
79,CUST00029,Aditya Iyer,Male,30,Hyderabad,Telangana,India,Regular,ORD101140,20-Sep-2024,2024-09-23,Credit Card,Delivered,Electronics,Power Bank,4,868.34,16.8601807799446,84.81,519.79,3492.35,2,16.6,2.0,No,Satisfied,  Agent_03  ,East,WH-South,,2422.44,2887.75
80,CUST01309,Sai Mehta,Female,45,Ahmedabad,Gujarat,India,Silver,ORD103836,2023-12-30,02/01/2024,Debit Card,Returned,Electronics,Smartwatch,2,2071.6,2.896849453871711,133.69,724.17,4881.04,7,2.5,,No,Neutral,Agent_04,South,WH-West,875.48,2289.84,4023.18
81,CUST00299,Aarav Singh,Male,42,Bengaluru,Karnataka,India,Platinum,ORD100701,16-Jul-2023,25-Jul-2023,UPI,Cancelled,Sports,Yoga Mat,3,1462.03,12.341806894989285,30.0,692.06,4566.83,1,20.9,2.0,Yes,Neutral,Agent_03,East,WH-South,158.64,2964.07,3844.77
82,CUST00563,Diya Patel, Male,30,Chennai,Tamil Nadu,India,Regular,ORD101163,19/11/2024,2024-11-22,Debit Card,Delivered,Electronics,Bluetooth Earbuds,6,695.74,8.078320696372659,66.45,690.7,4594.37,2,9.9,3.0,No,Satisfied,Agent_15,South,WH-Central,444.08,2635.99,3837.22
83,CUST01384,Aarav Reddy,Male,31,Pune,Maharashtra,India,Regular,ORD100500,26/02/2024,03/03/2024,Credit Card,Shipped,Home & Kitchen,Storage Boxes,6,861.97,5.425320763448227,73.36,880.42,5845.01,2,8.4,1.0,No,Satisfied,Agent_19,West,WH-North,989.87,2947.58,4891.23
84,CUST00264,Priya Gupta,Male,25,Mumbai,Maharashtra,India,Silver,ORD100161,2023-12-12,14-Dec-2023,Cash on Delivery,Delivered,Beauty,Lip Balm Set,3,843.79,11.88895684046793,73.98,401.48,2705.88,3,13.9,,No,Satisfied,Agent_12,North,WH-East,,1524.09,2230.42
85,CUST01051,Sneha Patel,Female,32,Mumbai,Maharashtra,India,Gold,ORD102208,18/08/2024,2024-08-24,Net Banking,Delivered,Beauty,Lip Balm Set,6,2385.62,4.838224950647981,89.95,2451.81,16162.95,3,1.5,2.0,No,Neutral,Agent_05,North,WH-Central,980.34,10099.09,13621.19
